Date,equipe1,score,equipe2
19/12/2020,Levante UD (14),2 - 1,Real Sociedad San-Sebastian (3)
22/12/2020,Real Sociedad San-Sebastian (4),0 - 2,Atlético Madrid (1)
31/12/2020,Athletic Bilbao (12),0 - 1,Real Sociedad San-Sebastian (3)
03/01/2021,Real Sociedad San-Sebastian (4),1 - 1,Osasuna Pampelune (19)
09/01/2021,FC Séville (4),3 - 2,Real Sociedad San-Sebastian (6)
23/01/2021,Real Sociedad San-Sebastian (6),2 - 2,Real Betis Balompié Séville (8)
30/01/2021,Villarreal CF (5),1 - 1,Real Sociedad San-Sebastian (6)
07/02/2021,Real Sociedad San-Sebastian (6),4 - 1,Cadix CF (14)
14/02/2021,Getafe CF (14),0 - 1,Real Sociedad San-Sebastian (5)
21/02/2021,Real Sociedad San-Sebastian (5),4 - 0,Deportivo Alavés (16)
01/03/2021,Real Madrid (3),1 - 1,Real Sociedad San-Sebastian (5)
07/03/2021,Real Sociedad San-Sebastian (5),1 - 0,Levante UD (11)
14/03/2021,Grenade CF (8),1 - 0,Real Sociedad San-Sebastian (5)
21/03/2021,Real Sociedad San-Sebastian (5),1 - 6,FC Barcelone (2)
07/04/2021,Real Sociedad San-Sebastian (5),1 - 1,Athletic Bilbao (9)
11/04/2021,Valence CF (13),2 - 2,Real Sociedad San-Sebastian (5)
18/04/2021,Real Sociedad San-Sebastian (5),1 - 2,FC Séville (4)
22/04/2021,Real Sociedad San-Sebastian (5),2 - 1,Celta Vigo (11)
26/04/2021,Eibar SD (20),0 - 1,Real Sociedad San-Sebastian (5)
01/05/2021,SD Huesca (18),1 - 0,Real Sociedad San-Sebastian (5)
07/05/2021,Real Sociedad San-Sebastian (5),2 - 0,Elche CF (19)
12/05/2021,Atlético Madrid (1),2 - 1,Real Sociedad San-Sebastian (5)
16/05/2021,Real Sociedad San-Sebastian (5),4 - 1,Real Valladolid (19)
22/05/2021,Osasuna Pampelune (11),0 - 1,Real Sociedad San-Sebastian (5)
18/02/2021,Real Sociedad San-Sebastian,0 - 4,Manchester United (ANG)
25/02/2021,Manchester United (ANG),0 - 0,Real Sociedad San-Sebastian
22/10/2020,HNK Rijeka (CRO) (4),0 - 1,Real Sociedad San-Sebastian (2)
29/10/2020,Real Sociedad San-Sebastian (2),0 - 1,SSC Naples (ITA) (1)
05/11/2020,Real Sociedad San-Sebastian (2),1 - 0,AZ Alkmaar (P-B) (3)
26/11/2020,AZ Alkmaar (P-B) (3),0 - 0,Real Sociedad San-Sebastian (2)
03/12/2020,Real Sociedad San-Sebastian (2),2 - 2,HNK Rijeka (CRO) (4)
10/12/2020,SSC Naples (ITA) (1),1 - 1,Real Sociedad San-Sebastian (2)
13/01/2021,FC Barcelone,1 - 1 (3 tab 2),Real Sociedad San-Sebastian
20/01/2021,Córdoba CF (ESP),0 - 2,Real Sociedad San-Sebastian
26/01/2021,Real Betis Balompié Séville (ESP),3 - 1 ap.,Real Sociedad San-Sebastian
17/07/2021,Real Sociedad San-Sebastian,6 - 1,SD Huesca (ESP)
24/07/2021,Deportivo Alavés (ESP),1 - 3,Real Sociedad San-Sebastian
28/07/2021,Real Sociedad San-Sebastian,2 - 1,AS Monaco (FRA)
31/07/2021,AZ Alkmaar (P-B),1 - 0,Real Sociedad San-Sebastian
06/08/2021,Real Sociedad San-Sebastian,1 - 3,Osasuna Pampelune (ESP)
06/08/2021,Real Sociedad San-Sebastian,3 - 1,Eibar SD (ESP)
15/08/2021,FC Barcelone (3),4 - 2,Real Sociedad San-Sebastian (18)
22/08/2021,Real Sociedad San-Sebastian (7),1 - 0,Rayo Vallecano (20)
28/08/2021,Real Sociedad San-Sebastian (7),1 - 0,Levante UD (12)
12/09/2021,Cadix CF (16),0 - 2,Real Sociedad San-Sebastian (4)
